Country,State,State type,Date,Category,Subcategory,Variable,Unit,Value
India,Andaman and Nicobar,Union territory,01-02-2019,Power sector emissions,Fuel,Other Renewables,ktCO2,0
India,Andaman and Nicobar,Union territory,01-02-2019,Power sector emissions,Fuel,Solar,ktCO2,0.08
India,Andaman and Nicobar,Union territory,01-02-2019,Power sector emissions,Fuel,Wind,ktCO2,0
India,Andaman and Nicobar,Union territory,01-02-2019,Power sector emissions,Total,Total emissions,ktCO2,4.96
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Aggregate fuel,Clean,MW,16.98
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Aggregate fuel,Fossil,MW,40.05
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Aggregate fuel,Gas and Other Fossil,MW,40.05
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",MW,5.25
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Aggregate fuel,Renewables,MW,16.98
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Aggregate fuel,Wind and Solar,MW,11.73
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Fuel,Bioenergy,MW,0
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Fuel,Coal,MW,0
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Fuel,Gas,MW,0
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Fuel,Hydro,MW,5.25
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Fuel,Nuclear,MW,0
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Fuel,Other Fossil,MW,40.05
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Fuel,Other Renewables,MW,0
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Fuel,Solar,MW,11.73
India,Andaman and Nicobar,Union territory,01-03-2019,Capacity,Fuel,Wind,MW,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Aggregate fuel,Clean,%,31.05
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Aggregate fuel,Fossil,%,68.96
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,68.96
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,10.65
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Aggregate fuel,Renewables,%,31.05
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Aggregate fuel,Wind and Solar,%,20.4
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Aggregate fuel,Clean,GWh,3.12
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Aggregate fuel,Fossil,GWh,6.93
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Aggregate fuel,Gas and Other Fossil,GWh,6.93
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GWh,1.07
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Aggregate fuel,Renewables,GWh,3.12
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Aggregate fuel,Wind and Solar,GWh,2.05
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Bioenergy,%,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Coal,%,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Gas,%,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Hydro,%,10.65
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Nuclear,%,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Other Fossil,%,68.96
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Other Renewables,%,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Solar,%,20.4
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Wind,%,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Bioenergy,GWh,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Coal,GWh,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Gas,GWh,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Hydro,GWh,1.07
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Nuclear,GWh,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Other Fossil,GWh,6.93
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Other Renewables,GWh,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Solar,GWh,2.05
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Fuel,Wind,GWh,0
India,Andaman and Nicobar,Union territory,01-03-2019,Electricity generation,Total,Total Generation,GWh,10.05
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Aggregate fuel,Clean,%,0.13
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Aggregate fuel,Fossil,%,4.85
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Aggregate fuel,Gas and Other Fossil,%,4.85
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,0.03
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Aggregate fuel,Renewables,%,0.13
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Aggregate fuel,Wind and Solar,%,0.1
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Aggregate fuel,Clean,ktCO2,0.13
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Aggregate fuel,Fossil,ktCO2,4.85
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Aggregate fuel,Gas and Other Fossil,ktCO2,4.85
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",ktCO2,0.03
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Aggregate fuel,Renewables,ktCO2,0.13
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Aggregate fuel,Wind and Solar,ktCO2,0.1
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,495.52
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Coal,%,0
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Gas,%,0
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Hydro,%,0.03
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Nuclear,%,0
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Other Fossil,%,4.85
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Solar,%,0.1
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Wind,%,0
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Bioenergy,ktCO2,0
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Coal,ktCO2,0
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Gas,ktCO2,0
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Hydro,ktCO2,0.03
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Nuclear,ktCO2,0
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Other Fossil,ktCO2,4.85
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Other Renewables,ktCO2,0
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Solar,ktCO2,0.1
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Fuel,Wind,ktCO2,0
India,Andaman and Nicobar,Union territory,01-03-2019,Power sector emissions,Total,Total emissions,ktCO2,4.98
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Aggregate fuel,Clean,MW,16.98
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Aggregate fuel,Fossil,MW,40.05
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Aggregate fuel,Gas and Other Fossil,MW,40.05
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",MW,5.25
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Aggregate fuel,Renewables,MW,16.98
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Aggregate fuel,Wind and Solar,MW,11.73
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Fuel,Bioenergy,MW,0
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Fuel,Coal,MW,0
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Fuel,Gas,MW,0
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Fuel,Hydro,MW,5.25
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Fuel,Nuclear,MW,0
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Fuel,Other Fossil,MW,40.05
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Fuel,Other Renewables,MW,0
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Fuel,Solar,MW,11.73
India,Andaman and Nicobar,Union territory,01-04-2019,Capacity,Fuel,Wind,MW,0
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Aggregate fuel,Clean,%,22.75
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Aggregate fuel,Fossil,%,77.26
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,77.26
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,5.58
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Aggregate fuel,Renewables,%,22.75
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Aggregate fuel,Wind and Solar,%,17.17
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Aggregate fuel,Clean,GWh,2.57
